,publish_date,headline_text
48,20030219,firefighters contain acid spill
49,20030219,four injured in head on highway crash
50,20030219,freedom records net profit for third successive
51,20030219,funds allocated for domestic violence victims
52,20030219,funds allocated for youth at risk
53,20030219,funds announced for bridge work
54,20030219,funds to go to cadell upgrade
55,20030219,funds to help restore cossack
56,20030219,german court to give verdict on sept 11 accused
57,20030219,gilchrist backs rest policy
58,20030219,girl injured in head on highway crash
59,20030219,gold coast to hear about bilby project
60,20030219,golf club feeling smoking ban impact
61,20030219,govt is to blame for ethanols unpopularity opp
62,20030219,greens offer police station alternative
63,20030219,griffiths under fire over project knock back
64,20030219,group to meet in north west wa over rock art
65,20030219,hacker gains access to eight million credit cards
66,20030219,hanson is grossly naive over nsw issues costa
67,20030219,hanson should go back where she came from nsw mp
68,20030219,harrington raring to go after break
69,20030219,health minister backs organ and tissue storage
70,20030219,heavy metal deposits survey nearing end
71,20030219,injured rios pulls out of buenos aires open
72,20030219,inquest finds mans death accidental
73,20030219,investigations underway into death toll of korean
74,20030219,investigation underway into elster creek spill
75,20030219,iraqs neighbours plead for continued un inspections
76,20030219,iraq to pay for own rebuilding white house
77,20030219,irish man arrested over omagh bombing
78,20030219,irrigators vote over river management
79,20030219,israeli forces push into gaza strip
80,20030219,jury to consider verdict in murder case
81,20030219,juvenile sex offenders unlikely to reoffend as
82,20030219,kelly disgusted at alleged bp ethanol scare
83,20030219,kelly not surprised ethanol confidence low
84,20030219,korean subway fire 314 still missing
85,20030219,last minute call hands alinghi big lead
86,20030219,low demand forces air service cuts
87,20030219,man arrested after central qld hijack attempt
88,20030219,man charged over cooma murder
89,20030219,man fined after aboriginal tent embassy raid
90,20030219,man jailed over keno fraud
91,20030219,man with knife hijacks light plane
92,20030219,martin to lobby against losing nt seat in fed
93,20030219,massive drug crop discovered in western nsw
94,20030219,mayor warns landfill protesters
95,20030219,meeting to consider tick clearance costs
96,20030219,meeting to focus on broken hill water woes
97,20030219,moderate lift in wages growth
98,20030219,more than 40 pc of young men drink alcohol at
99,20030219,more water restrictions predicted for northern tas
100,20030219,more women urged to become councillors
101,20030219,most highly educated live in nsw wa
102,20030219,mp raises hospital concerns in parliament
103,20030219,mp rejects ambulance levy claims
104,20030219,mugabe to touch down in paris for summit
105,20030219,national gallery gets all clear after
106,20030219,nato gives green light to defend turkey
107,20030219,nca defends aboriginal tent embassy raid
108,20030219,new zealand imposes visa entry for zimbabwe
109,20030219,no side effects for new whooping cough vaccine
110,20030219,nsw govt under fire for holding back vegetation
111,20030219,nsw opp defends claims of running race campaign
112,20030219,nsw opp pledges 50m drought relief
113,20030219,nt govt boosts nurse number with overseas intake
114,20030219,nth koreans seek asylum at japanese embassy
115,20030219,nursing student intake down
116,20030219,oh brother your times up says ganguly senior
117,20030219,omodei to stay in politics
118,20030219,onesteel to invest 80m in whyalla steelworks
119,20030219,opposition urged to help protect recherche bay
120,20030219,orientation begins for uni students
121,20030219,osullivan in world cross country doubt
122,20030219,pagan says rule changes not necessary
123,20030219,pair to face court over ayr murder
124,20030219,patterson defends decision not to attend health
125,20030219,patterson no show displays govts arrogance crean
126,20030219,patterson snubs health meeting to avoid lions den
127,20030219,peace agreement may bring respite for venezuela
128,20030219,pienaar shines as ajax frustrate arsenal
129,20030219,plan for second skatepark
130,20030219,plan to encourage farmers into plantation timber
131,20030219,png nurses strike after colleague raped on way to
132,20030219,police cracking down on driver safety
133,20030219,police defend aboriginal tent embassy raid
134,20030219,policewomen accusations feature at federal crime
135,20030219,probe launched into plane crash
136,20030219,program to monitor forest harvested areas
137,20030219,public urged to check gas cylinders
138,20030219,public warned about phone scam
139,20030219,qantas international crews to strike over pay
140,20030219,qantas war plan to cut 2500 jobs outrages unions
141,20030219,qr not planning northern route sackings
142,20030219,questions public anger grows after korean subway
143,20030219,rabbit control program on trial
144,20030219,radioactive spill at wmcs olympic dam mine
145,20030219,rain eases wheatbelt water woes
146,20030219,reading go third in first division
147,20030219,record amount for gladstone ventures
148,20030219,refshauge wins defamation court case
149,20030219,regulator to inspect gm canola trials
150,20030219,report highlights container terminal potential
151,20030219,resource stocks boost all ords
152,20030219,restraint order issued against anti discrimination
153,20030219,rfs rejects claim that act authorities spurned
154,20030219,ricciuto undergoes surgery on injured ankle
155,20030219,rice mill closures to put 300 out of work
156,20030219,rsl angry about reports of troop harassment
157,20030219,safety review begins after bushwalker death
158,20030219,sa premier calls for action over river murray
159,20030219,saudi arabians to stand trial over al qaeda
160,20030219,saudi arabia tells arabs war on iraq inevitable
161,20030219,search continues for victims in s korean subway
162,20030219,second resolution on iraq expected shortly un
163,20030219,shire offers assurances over finances
164,20030219,six palestinians killed in gaza incursion
165,20030219,slow recovery predicted for aust economy
166,20030219,smoking bans hit tabcorp bottom line
167,20030219,snowtown murder trial delayed
168,20030219,states may be forced to label ethanol fuel
169,20030219,stations to get fixed home phone service
170,20030219,sterrey to steer sharks
171,20030219,still no sign of missing fisherman
172,20030219,stop changing the rules fans tell afl
173,20030219,sugar industry plan to be revealed
174,20030219,surge in new car sales in aust abs
175,20030219,swiss challengers looking to future
176,20030219,taipans placing future in publics hands
177,20030219,talk of asian nuclear arms race unhelpful downer
178,20030219,tasmanian scientists to search for east coast
179,20030219,taylor denies calling on waugh to quit
180,20030219,teen to face court over drug charges
181,20030219,testing shows dioxin above drinking water standards
182,20030219,thousands remember 61st anniversary of darwin
183,20030219,unions to ask members to support public protests
184,20030219,uni to continue tree disease study
185,20030219,us british aircraft attack sth iraq target
186,20030219,vff to buy stock feed pellets for fire affected
187,20030219,vic local councils welcome single polling day
188,20030219,victorian scientists honoured at awards
189,20030219,vowles to retire at end of season
190,20030219,wales coach accuses players of belittling red
191,20030219,warne hearing set for friday
192,20030219,webb favourite for ladies masters
193,20030219,widnes abandon paul bid
194,20030219,wildlife sanctuaries plan revealed
195,20030219,williams says tight bowling key to warriors win
196,20030219,wine chief bounces back from sacking
197,20030219,worksafe probes potato harvester injuries
198,20030220,15 dead in rebel bombing raid philippines army
199,20030220,abattoir up for sale again
200,20030220,academic upbeat about higher education review
201,20030220,administrator to be appointed to land council
202,20030220,aec to declare if nt to lose parliamentary seat
203,20030220,amcor records solid profit result
204,20030220,americas cup fourth race cancelled
205,20030220,arsenal poised to swoop on beckham report
206,20030220,aust drinking less alcohol smoking less study
207,20030220,austeel eis release due soon nsw govt
208,20030220,australian flag celebrates 100th birthday
209,20030220,awu to hold meeting over port kembla jobs
210,20030220,baby badly burnt in brisbane house fire
211,20030220,bad weather might have caused iranian plane crash
212,20030220,beckham leads as man u cut down depleted juve
213,20030220,beware the standard alcoholic drink
214,20030220,bilby dream to become reality
215,20030220,brisbane sparkies head for 10 day strike
216,20030220,britain tells nationals to leave iraq kuwait
217,20030220,british high court overturns new blair asylum
218,20030220,british magician to entomb himself in cheese
219,20030220,bungle leaves doctor waiting to practise
220,20030220,bushfire coronial inquiry winds up
221,20030220,bush thanks nato for support on turkey
222,20030220,call for ambos help in wake of funding changes
223,20030220,canegrowers hope for late summer rain
224,20030220,capriati hungry again in dubai
225,20030220,celts underdogs for uefa clash oneill
226,20030220,chambers vows to smash world mark
227,20030220,charvis pays penalty as humphreys earns shock
228,20030220,christmas is detention centre no go claims quashed
229,20030220,claim defence spending priority over health nt
230,20030220,claim education policy causing high indigenous
231,20030220,claim new code should protect autopsy consent
232,20030220,claim tas education policy causing high indigenous
233,20030220,college to continue work experience
234,20030220,concern act fire probe not covered by legal
235,20030220,concorde makes emergency landing in canada
236,20030220,coronial inquiry expected after hospital death
237,20030220,council chief laments job advertising decision
238,20030220,council general manager to step down
239,20030220,council to offer vandalism reporting reward
240,20030220,country racing clubs still hold tab fears
241,20030220,court to rule on longford gas compo today
242,20030220,cristal end eight match libertadores losing streak
243,20030220,cuper slams inter bad boy recoba
244,20030220,deportivo slip against buoyant swiss minnows basel
245,20030220,distance swimmer maroney calls it quits
246,20030220,dixon dismisses qantas monopoly claim
247,20030220,downer warns iraq action could begin soon
248,20030220,drought breaking rain may be months away
249,20030220,drought impact may be more far reaching
250,20030220,drought taking toll on insects
251,20030220,early childhood development to receive research
252,20030220,ellis webb well placed in ladies masters
253,20030220,employee granted restraining order against a d
254,20030220,england almost choke on burger king
255,20030220,england call up morris for first cap
256,20030220,epa to investigate radioactive spill in sa
257,20030220,esso not responsible for economic losses from gas
258,20030220,esso wins against class action for longford gas
259,20030220,etienne agrees to tyson fight
260,20030220,families confront korean president elect over
261,20030220,fans join flower olonga in anti mugabe protest
262,20030220,ferguson hails beckham in uniteds victory
263,20030220,fewer australians being jailed abs
264,20030220,fifa boss prepared to postpone matches for war
265,20030220,firefighters told to not attend tip blazes
266,20030220,fish cleaning facility plans announced
267,20030220,flight attendant action wont affect bundaberg
268,20030220,forest alliance rejects hindrance claims
269,20030220,former bank worker pleads guilty to theft charges
270,20030220,former treasurer charged with starting fire on sa
271,20030220,forum puts focus on regional needs
272,20030220,four nominate for nats charters towers preselection
273,20030220,france drop merceron gelez to face scots
274,20030220,french expedition site to be heritage protected
275,20030220,fuel price jumps in newcastle
276,20030220,fulham smash west brom with quickfire trio
277,20030220,ganguly leads india to victory
278,20030220,gartner wines to be wound up
279,20030220,gippsland firefighters remain on guard
280,20030220,govt canvassing ways to improve child development
281,20030220,govt to work with rhh after coroners suicide report
282,20030220,greenpeace calls for ban on gm canola
283,20030220,greens dump anti terror kits on howards doorstep
284,20030220,group airs truancy concerns
285,20030220,groups praise outgoing opposition agriculture
286,20030220,group to take over reef hq building
287,20030220,hagan to blood rookies against penrith
288,20030220,houllier backs owen to break rush scoring record
289,20030220,howard steps up criticism of anti war protesters
290,20030220,howard vows to stay on as pm until iraq crisis
291,20030220,hussein says iraq doesnt want war with us
292,20030220,illegal fishing hot spots identified
293,20030220,immigration raid in melbourne draws flak
294,20030220,impatience grows over water management plan
295,20030220,indy meeting likely to include rain racing talks
296,20030220,injuries threaten united finals bid
297,20030220,interest sought in building stage one of bypass
298,20030220,investigations underway into qantas skid
299,20030220,investor in planned ethanol plant laments trial
300,20030220,iran military plane crash kills 302
301,20030220,iran plane crashes with at least 250 aboard tv
302,20030220,iraqi use of human shields a war crime us
303,20030220,italy remain unchanged for ireland clash
304,20030220,kalgoorlie boulder crime rate declines
305,20030220,kayakers rescued after second day of adventure
306,20030220,kirwan sticks with winning formula for ireland
307,20030220,korean books atp date with top seed roddick
308,20030220,landholder contribution still under discussion
309,20030220,lawyers allowed to visit manus is detention centre
310,20030220,lawyers set to appeal mans sept 11 conviction
311,20030220,lawyers to review case before any esso appeal
312,20030220,lend leases posts 370 million loss
313,20030220,lethal backs nine point rule change
314,20030220,m5 airport tunnel remains closed after accident
315,20030220,macarthurs kingfisher suffers minor damage
316,20030220,man apologises for plane hijack
317,20030220,man awaits sentencing over denmark murder
318,20030220,man being questioned over qld backpacker death
319,20030220,man charged over roxby downs plane incident
320,20030220,man in hospital after stabbing attack
321,20030220,man loses defamation compo bid
322,20030220,man on murder charge refused bail
323,20030220,man to face court over alleged hijack
324,20030220,man to face court over attempted armed robbery
325,20030220,man who whacked thatcher gets 3 months jail
326,20030220,maroney calls it quits
327,20030220,medal recognises islander war efforts
328,20030220,meetings to consider glenelg river future
329,20030220,melbourne man receives massive compo payout after
330,20030220,mgladbach leave danger zone with home win
331,20030220,mine rating challenge result expected in march
332,20030220,miner exploring for nickel deposits
333,20030220,molotov cocktail suspected in melb hotel fire
334,20030220,more anti war rallies planned
335,20030220,more land for noosa national park
336,20030220,more teachers are at danger from students union
337,20030220,more than 60 detained after immigration raid
338,20030220,more women unlikely to join mens pga masters
339,20030220,mosley ready for engine compromise
340,20030220,motorists will avoid ethanol blended fuels labor
341,20030220,mud crab business on the move
342,20030220,murray meeting wouldnt detract from ministerial
343,20030220,nats seek probe bushfires probe
344,20030220,new boat takes to waterways
345,20030220,new zealand to discover kenya fate on thursday
346,20030220,no funding discussion until after nsw poll
347,20030220,no penalties for church over damaged monument
348,20030220,nsw coalition making magic pudding election
349,20030220,nt govt announces community benefit grants
350,20030220,offers roll in for classic holden
351,20030220,oil prices hit new high
352,20030220,oldfield to front court over one nation pre
353,20030220,one nation pre selection hearing continues in nsw
354,20030220,packer hands in licence as pistol investigation
355,20030220,pakistani air force chief killed in air crash
356,20030220,palaszczuk wont make disaster funds promise
357,20030220,parks move to protect high conservation areas
358,20030220,peace group denies members harassing soldiers
359,20030220,people trapped after m5 pile up
360,20030220,pilot makes emergency landing at adelaide airport
361,20030220,players continue zimbabwe protest
362,20030220,pm criticism of protesters disgraceful crean
363,20030220,pm defends criticism of anti war protesters
364,20030220,police continue probe into human remains find
365,20030220,police find second cannabis crop
366,20030220,police hope to gain an edge on weapons users
367,20030220,police locate missing family of 6 after house
368,20030220,police make arrests after drug raids
369,20030220,police seek help over pay tv piracy
370,20030220,police tax office to fight chop chop trade
371,20030220,police wont rule out link between drug plantations
372,20030220,politicians breeding publics anti troop sentiment
373,20030220,pollock denies split in proteas camp
374,20030220,population drift forces new federal boundaries
375,20030220,powell to visit asia in bid to ease nth korean
376,20030220,predictions of good wheatbelt rain
377,20030220,probe launched into fatal police pursuit
378,20030220,protesters condemn howard criticism of anti war
379,20030220,protocols were followed in immigration raids
380,20030220,public warned about snake handling dangers
381,20030220,pumping continues at richmond after flooding
382,20030220,qantas draws flak over redundancy talk
383,20030220,qantas flags job cuts despite record profit
384,20030220,qantas records 353 million profit
385,20030220,qfvg upset over retail prices
386,20030220,qld govt says new hospital on schedule
387,20030220,qld nats close to deal with libs springborg
388,20030220,racing club sneak a point in peru
389,20030220,rain boosts farmers confidence
390,20030220,rain may force aussie bowling change buchanan
391,20030220,ram raid targets newsagency
392,20030220,road funds to tackle flooding
393,20030220,ronaldo puts real back in the race
394,20030220,ruiz hat trick as guatemala rout nicaragua
395,20030220,saff to gauge feelings on planned crown lands bill
396,20030220,safin escude on rotterdam comeback trail
397,20030220,sa govt defends moves to force fine defaulters to
398,20030220,sa govt to appeal against fishing decision
399,20030220,schmeichel set to miss arsenal trip
400,20030220,school to reopen after paint fume scare
401,20030220,scotland refuse to panic
402,20030220,seaman injury crisis for arsenal
403,20030220,self cloning crayfish threatens native species
404,20030220,socceroos creep up world rankings
405,20030220,solar cars to turn heads
406,20030220,sporting task force planning begins
407,20030220,start of americas cup race four delayed
408,20030220,stone to stay on as federal liberal president
409,20030220,sun needed for good downpour
410,20030220,taipans win keeps play off dreams alive
411,20030220,tas police to question injured man about house fire
412,20030220,taxi driver to face sex trial
413,20030220,tension increases after fighter strays into sth
414,20030220,terror weapons pose minimal risk british expert
415,20030220,thousands to visit dairy field days
416,20030220,three israelis injured as hamas made rockets hit
417,20030220,tnz shuffles pack as defeat looms
418,20030220,tomasson gives milan narrow win over lokomotiv
419,20030220,tough times ahead for water allocations
420,20030220,tourism industry must be protected from iraq
421,20030220,trial hears woman denied killing fiance
422,20030220,triathletes back bris to gold coast bikeway
423,20030220,truck roll destroys furniture
424,20030220,turkey stands firm against us aid offer
425,20030220,turkey still undecided over us aid for gulf attack
426,20030220,union disunity over mccains enterprise agreement
427,20030220,un security council ends two day open debate on
428,20030220,us invited to talks with burmese military junta
429,20030220,us launches homeland security ready campaign
430,20030220,us markets remain jittery in shadow of war
431,20030220,us tells turkey time running out for aid offer
432,20030220,us to take no wto action against europe over ge
433,20030220,uzbek journalist sentenced to seven years in jail
434,20030220,verstappen pleased with new minardis track debut
435,20030220,vic govt speaks out over rice mill closure claims
436,20030220,wa fire crews battle bushfire at marangaroo
437,20030220,war talk takes toll on all ords
438,20030220,war with iraq could cost 120bn economists
439,20030220,watkins jeered at education forum
440,20030220,wa wine destined for us
441,20030220,western power reveals power supply bid details
442,20030220,wide bay economy growing stronger
443,20030220,wine exporters urged to push ahead
444,20030220,winemakers move considered loss for tas industry
445,20030220,woman faces court over child prostitution
446,20030220,yacht loses mast in trawler incident
447,20030220,zimbabwe bars british reporter from world cup
448,20030221,accc too timid in petrol price investigations
449,20030221,action wanted to lower indigenous unemployment rate
450,20030221,aec ruling to scrap federal seat hurts us the most
451,20030221,aek shut out malaga to claim goalless draw
452,20030221,allan guilty on cash charges
453,20030221,allan unlikely to appeal fine
454,20030221,ama airs hospital reform concerns
455,20030221,ama delivers health concerns list to politicians
456,20030221,andersson atwal miss record in malaysia
457,20030221,antarctic rocks could aid global warming
458,20030221,anz confident of growth in tough environment
459,20030221,anz to pay more than 260 million to tax office
460,20030221,arab states press for war crimes condemnation of
461,20030221,at least 26 dead in us club fire
462,20030221,at least 42 injured in rhode island nightclub fire
463,20030221,aussie dollar continues its climb
464,20030221,aust could be in top four al qaeda target list
465,20030221,australia to withdraw bougainville peace monitors
466,20030221,aust share market ends week in negative territory
467,20030221,bartlett vows to block govt plans for sa nuclear
468,20030221,beattie unaware of tree clearing funds hold up
469,20030221,bedi labels murali a chucker
470,20030221,belgian police recover stolen works
471,20030221,bhp port kembla production restarts
472,20030221,big guns back to business in the premier league
473,20030221,blake paradorn upset in memphis
474,20030221,bracks backs ruling on deans 50000 a year pension
475,20030221,british govt clashes with high court over asylum
476,20030221,british pop awards will be platform for iraq
477,20030221,briton stabbed to death in bangkok
478,20030221,brothel owner acquitted of hiring underage
479,20030221,brothel owner fronts court after allegedly hiring
480,20030221,burmas suu kyi sentenced to one day jail fined
481,20030221,bushfires burn over 1m hectares
482,20030221,cairns canberra grab nbl wins
483,20030221,cairns injured in kiwi nightclub brawl
484,20030221,cairns injured in nightclub brawl report
485,20030221,call to scrap national plantation target
486,20030221,candleholders recalled as fire risk
487,20030221,carr off the hook over brogden debate pm
488,20030221,celts sink 10 man stuttgart
489,20030221,central qld park area expanded
490,20030221,centrelink to offer drought counselling
491,20030221,china to wage chemical war on chewing gum blobs
492,20030221,chirac mugabe talk on sidelines of africa summit
493,20030221,christmas island residents not aware of detention
494,20030221,claim low oil inventory causing high petrol prices
495,20030221,claims live sheep cattle exports threatening tas
496,20030221,claims more rain will boost stock prices
497,20030221,class action may cost esso 50m
498,20030221,clinton cancels trip to india
499,20030221,coalition promises to scrap anglers fee
500,20030221,committal continues into goulburn jail riot
501,20030221,costello unhappy he wasnt consulted by stone
502,20030221,council approves poultry farm
503,20030221,council awaits more rain
504,20030221,council considers indigenous caravan park plan
505,20030221,council elections planned for may
506,20030221,council rejects combined field days stand idea
507,20030221,council to change tree protection by law
508,20030221,council to fund groundwater study
509,20030221,counsel begin summing up at warnes doping hearing
510,20030221,criminal charges pending in s korea subway probe
511,20030221,crocs prove too good for bullets
512,20030221,date set for bushfires coronial inquiry
513,20030221,dean to receive lifetime parliamentary pension
514,20030221,death spells end to record marriage
515,20030221,demons thump tigers
516,20030221,deportivo cali outclass sulky river plate
517,20030221,deschamps chases old flame marseille
518,20030221,disaster funds to allow shire to complete other
519,20030221,dortmund ready to hound bayern
520,20030221,downpour closes tourist roads
521,20030221,drought impacting on roadworks
522,20030221,drought predicted to have long lasting impact
523,20030221,education dept considers rural concerns
524,20030221,family court rejects bid to invalidate transsexual
525,20030221,farmers celebrate good rain
526,20030221,fears patterson hiding bad news tas health minister
527,20030221,federal funds sought for wave studies
528,20030221,fed govt considering appeal over transsexual
529,20030221,firefighters win battle to contain beechford blaze
530,20030221,fishers to meet minister over court ruling
531,20030221,fishing group seeks action over pilchard imports
532,20030221,flight attendants action likely to affect
533,20030221,footy great gets behind indigenous rights campaign
534,20030221,former socceroos coach thomson dies
535,20030221,funeral held for cricket legend
536,20030221,funk leads elkington in california
537,20030221,gebrselassie plans world record comeback
538,20030221,g g to witness church bell hand over
539,20030221,gold coast gets us tourism assurances
540,20030221,group concerned rain brings wrong impression
541,20030221,group gets clearer understanding of farmers gm
542,20030221,guga reaches buenos aires quarters
543,20030221,health service speaks out over patient death
544,20030221,hoddle st murderer granted right to seek judicial
545,20030221,horse ride to re enact mt isa mine find
546,20030221,howard repeats zimbabwe boycott call
547,20030221,hundreds of triathletes to head for coffs
548,20030221,hungarian thief makes amends by posts
549,20030221,hyypia the hero as liverpool bounce back
550,20030221,iaea to visit iran to assess nuclear program
551,20030221,indian jailed for smuggling pakistani in suitcase
552,20030221,indian players to retrace gandhi journey
553,20030221,indonesia says australia travel warnings
554,20030221,industrial action to impact on brisbane schools
555,20030221,investigation underway into m5 pile up
556,20030221,investigator probes sa hospital staff complaints
557,20030221,jackson hits back at explosive british tv interview
558,20030221,japanese tourist drowns in gold coast surf
559,20030221,joblink issues statement over sacking
560,20030221,keegan aiming to bring arsenal down to earth
561,20030221,kenya awarded points for kiwi call off
562,20030221,kylie minogues posterior is hit of the brits
563,20030221,land council dismissed administrator appointed
564,20030221,langer named one day player of year
565,20030221,liverpool win but lazio held by krakow
566,20030221,llewellyn not impressed by patterson so show
567,20030221,longreach water restrictions to remain
568,20030221,loose cannon afridi set for pakistan against
569,20030221,lovenkrands dreaming of hampden return
570,20030221,low water sparks boat ban for lake albert
571,20030221,male dna found on body of murdered schoolgirl
572,20030221,man accused of selling bali bomb chemicals goes on
573,20030221,man appears in court charged with stuttle murder
574,20030221,man charged with stuttle murder
575,20030221,man fails to overturn conviction over 1600yo bell
576,20030221,man in hospital after receiving severe electric
577,20030221,man in hospital after stabbing
578,20030221,man jailed for fatally stabbing ex de facto
579,20030221,man jailed for life over axe murder
580,20030221,man to be re questioned over stuttle murder
581,20030221,man to face court over fatal hit and run
582,20030221,man u agreed deal with eriksson ferguson
583,20030221,man who threatened melbourne water supply bailed
584,20030221,map highlights potential river salinity problems
585,20030221,mayor angry over mural vandalism
586,20030221,mining giant calls for funding boost for native
587,20030221,montgomery enters us indoor nationals
588,20030221,more rain may delay tougher water restrictions
589,20030221,more us troops to help hunt abu sayyaf rebels
590,20030221,mp wants tank battalion rumours investigated
591,20030221,mp welcomes police station announcement
592,20030221,nardell mine closes as receiver appointed
593,20030221,nauru appeals for help to keep nations airline
594,20030221,new battle of britain looming in uefa cup
595,20030221,newcastle city notch wins stallions draw with south
596,20030221,new commercial mud crabbing restrictions planned
597,20030221,new disability respite service
598,20030221,n korea ducks nuclear talk at nam summit
599,20030221,n korea warns it wont beg for peace
600,20030221,no cost blowouts forecast for water treatment plan
601,20030221,nsw coroner clears docs over death of toddler
602,20030221,nsw graziers record heavy rainfall
603,20030221,nsw opps drug free prison plan not new amery
604,20030221,nursing home worker suspended
605,20030221,olonga sacked by his club
606,20030221,one million tickets sold for rugby world cup
607,20030221,otago open super 12 with a win
608,20030221,owners hesitant over northerlys overseas jaunt
609,20030221,pair face court over machete attack
610,20030221,palestinian killed at gaza strip crossing point
611,20030221,patterson irresponsible with no show edmond
612,20030221,patterson no show childish wa minister
613,20030221,patterson says health meeting a waste of time
614,20030221,petrol prices on the rise
615,20030221,petrol will hit 120 if war breaks out ssa
616,20030221,plan may include puckapunyal roo cull
617,20030221,planning for intersection revamp begins
618,20030221,pm accuses european countries of encouraging saddam
619,20030221,pm defends protest comments
620,20030221,pm has no choice but to stay on through iraq
621,20030221,pm praises costello over leadership patience
622,20030221,png governor general urges election unity
623,20030221,police charge man over stabbing
624,20030221,police continue investigating cannabis crops
625,20030221,police stations face uncertainty
626,20030221,powell calls on un to uphold responsibilities over
627,20030221,push likely to seek more aged care workers
628,20030221,push to extend fraser is world heritage listing
629,20030221,qantas plane makes emergency landing
630,20030221,qantas says it has no info as prime terrorist
631,20030221,qantas urged to update security in shadow of
632,20030221,qld govt rejects land acquisition claims
633,20030221,racv not surprised by petrol rationing talk
634,20030221,rail firm to assess workers needs
635,20030221,rain brings stock losses
636,20030221,rain causes chaos on melbourne roads
637,20030221,rain expected to continue across act
638,20030221,rainfall likely to clear on weekend
639,20030221,rain in nsw a welcome relief but drought not over
640,20030221,rain not enough to be drought breaking
641,20030221,rain offers water supply boost
642,20030221,rejuvenated tyson cured by cash injection
643,20030221,residents get fire assurances
644,20030221,retail sector airs trading hours review concerns
645,20030221,romario jeered teams brawl as fluminense held
646,20030221,round the world in no forget it
647,20030221,ruddock commends australias traveller controls
648,20030221,salinity experts map water catchments
649,20030221,sa nt to lose seats in federal parliament
650,20030221,sas soldier charged with misconduct while in e
651,20030221,schumacher seeks more speed from less noise
652,20030221,seaman set for ajax match
653,20030221,search for better life pays off
654,20030221,second us nightclub fire kills 10
655,20030221,senators offer input into coast issues
656,20030221,several dead in fire at rhode island nightclub
657,20030221,shire says planning policy not compromised
658,20030221,slapping paedophile to have arm amputated
659,20030221,state territory health ministers arrive for meeting
660,20030221,stolen wage report looks to improve indigenous
661,20030221,strike expected to mean milk shortages
662,20030221,strike may disrupt nsw milk supply
663,20030221,study considers alternative crops for sugar regions
664,20030221,study to probe snowy motorcycle crashes
665,20030221,teachers shortage set to get worse report
666,20030221,team mates send best wishes to warne
667,20030221,telstra chief embarrassed with 1 billion writedown
668,20030221,telstra punished after massive hong kong write down
669,20030221,telstra still hurting from hk joint venture
670,20030221,thieves target esperance cars
671,20030221,timor sea treaty will be ratfied shortly martin
672,20030221,troubled torino praying for a miracle
673,20030221,tuckey laments gungahlin drive planning problems
674,20030221,turkey delays vote on us troops
675,20030221,turkey digs heels in us lobbies for support for
676,20030221,turkey forces us to weigh up strategies
677,20030221,union condemns qantass contract labour plan
678,20030221,us asks indonesia to improve human rights record
679,20030221,us boost troop numbers in philippines
680,20030221,us chiropractor to address gold coast gathering
681,20030221,us intelligence analyst found guilty of spying
682,20030221,usq researchers prepare for move
683,20030221,valencia sense victory in benitez v benitez
684,20030221,vic govt gets farmers drought update
685,20030221,victorian farmers hope rain will break drought
686,20030221,victoria welcomes rain relief
687,20030221,vinnicombe rejects mps freeway claims
688,20030221,waratahs go down in super 12 opener
689,20030221,war impact on exercise unknown
690,20030221,warne decision to be made saturday
691,20030221,warne dope hearing underway
692,20030221,williams and mclaren plan to take fia to court
